OBJECTID,ID,Camera ID,Camera Type,Location,Source,Source_URL,Display_Type,View_Direction,Webcam_URL,PopUp_URL,Consolidated_URL,NearBy_Place,County,State,Elevation_Ft,Longitude,Latitude,GlobalID,Thumbnail URL,View Degrees,Tilt,Zoom,Field of View,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2,CreationDate,Creator,EditDate,Editor
1,,Axis-TassajaraPeak,Fire,Tassajara_Peak,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2438,,https://ops.alertcalifornia.org/,,SanLuisObispo,,0,-120.708572,35.393814,c1ddf869-4c29-48cd-add6-457d42eb7d31,https://ops.alertcalifornia.org/cam-console/2438,3.14,0,12,61.12,,,3758865380.21875,281300.469942075,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
2,,Axis-RockyPoint1,Fire,Rocky_Point_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2327,,https://ops.alertcalifornia.org/,,Kern,,0,-118.4207,35.686901,498ff17c-a182-4cc1-81bc-f154581417db,https://ops.alertcalifornia.org/cam-console/2327,166.86,0,1,62.81,,,3801072172.59766,282356.602117227,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
3,,Axis-McPeak,Fire,McClellan_Peak_NV,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/12212,,https://ops.alertcalifornia.org/,,Storey,,0,-119.698997,39.258999,cc1bfaa4-1541-42b4-9927-d58a836aa3f0,https://ops.alertcalifornia.org/cam-console/12212,185.26,0,1,62.81,,,3985594318.27734,289877.273799217,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
4,,Axis-BaldMtnTower2,Fire,Bald_Mtn_Tower_LAC_2,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/8564,,https://ops.alertcalifornia.org/,,LosAngeles,,0,-118.728,34.7447,34d61821-3c9f-4621-8234-908fc5cbb610,https://ops.alertcalifornia.org/cam-console/8564,119.77,0,1,61.54,,,3714498769.57031,280114.775098908,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
5,,Axis-Mission1,Fire,Mission_Peak_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2127,,https://ops.alertcalifornia.org/,,SantaClara,,0,-121.860901,37.475399,44bda144-a16f-49fa-8bf3-4fc2ba7b1a6e,https://ops.alertcalifornia.org/cam-console/2127,278,0,1,62.81,,,3911873823.60547,289616.368587452,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
6,,Axis-BeatyButte,Fire,Beaty_Butte,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/11106,,https://ops.alertcalifornia.org/,,Harney,,0,-119.332122,42.385915,83443e66-e2ab-470d-bb12-390c3473c0ce,https://ops.alertcalifornia.org/cam-console/11106,60.02,0,257,34.42,,,2681207969.02344,249245.949314437,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
7,,Axis-Ranchita1,Fire,Ranchita_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/2288,,https://ops.alertcalifornia.org/,,SanDiego,,0,-116.502357,33.217541,54cdc932-31c6-405a-a274-23d77723bd36,https://ops.alertcalifornia.org/cam-console/2288,1.48,0,1,61.54,,,3676174926.61719,277592.909551832,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
8,,Axis-ArmstrongLookout1,Fire,Armstrong_Lookout_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1791,,https://ops.alertcalifornia.org/,,El Dorado,,0,-120.384285,38.542347,27c23036-8535-41fc-844f-4571f1de70c0,https://ops.alertcalifornia.org/cam-console/1791,226.58,0,1,61.54,,,3897065066.85938,287749.002018631,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
9,,Axis-BloomerLookout1,Fire,Bloomer_Lookout_1,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/1618,,https://ops.alertcalifornia.org/,,Butte,,0,-121.463402,39.651001,03c318d3-997c-4cf6-80b9-03823bcd81ff,https://ops.alertcalifornia.org/cam-console/1618,79.53,0,1,62.81,,,4034399610.28125,295088.17193481,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
10,,Axis-PetersonButte,Fire,Peterson_Butte,Alert California,https://ops.alertcalifornia.org/,Picture,Pan-Tilt-Zoom,https://ops.alertcalifornia.org/cam-console/11129,,https://ops.alertcalifornia.org/,,Linn,,0,-122.961772,44.505241,d7a3d233-4271-4ffe-a775-7e1eecf4efd2,https://ops.alertcalifornia.org/cam-console/11129,180.05,0,1,61.54,,,4272819056.25,302971.979189158,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA,3/12/2024 4:01:35 PM,Atoosa.Izadifar@CalOES.ca.gov_CalEMA
