# 2025 12  9 19  0 UTC  2025 12  9 19 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2025,12,9,1902,41.14,122.98,3.73,0,2,1,3.75,0,1
2,2025,12,9,1902,41.12,122.98,3.73,0,2,1,3.75,0,1
3,2025,12,9,1902,41.12,123.00,3.73,0,2,1,3.75,0,1
4,2025,12,9,1902,40.68,109.70,3.76,0,2,1,1.66,0,5
5,2025,12,9,1902,40.68,109.72,3.76,0,1,1,4.12,0,5
6,2025,12,9,1902,40.68,122.42,3.76,0,2,1,.64,0,6
7,2025,12,9,1902,40.66,109.72,3.76,0,2,1,1.66,0,5
8,2025,12,9,1902,40.66,109.74,3.76,0,1,1,4.12,0,5
9,2025,12,9,1902,40.66,109.76,3.76,0,1,1,4.12,0,5
10,2025,12,9,1902,40.64,109.72,3.76,0,2,1,2.30,0,5
11,2025,12,9,1902,40.64,109.74,3.76,0,2,1,2.30,0,5
12,2025,12,9,1902,40.34,120.52,3.78,0,1,3,3.77,0,12
13,2025,12,9,1902,40.18,118.06,3.79,0,2,3,2.90,0,13
14,2025,12,9,1902,40.18,118.08,3.79,0,2,3,2.90,0,13
15,2025,12,9,1902,40.16,118.08,3.79,0,2,3,2.90,0,13
16,2025,12,9,1902,39.84,98.26,3.81,0,2,3,1.08,0,18
17,2025,12,9,1902,39.82,98.26,3.81,0,2,3,1.08,0,18
18,2025,12,9,1902,39.82,98.28,3.81,0,2,3,1.08,0,18
19,2025,12,9,1902,39.70,118.88,3.81,0,2,3,1.11,0,19
20,2025,12,9,1902,39.60,118.48,3.82,0,2,3,2.62,0,20
21,2025,12,9,1902,39.44,118.46,3.83,0,2,1,1.78,0,21
22,2025,12,9,1902,39.22,108.94,3.84,0,2,1,.63,0,23
23,2025,12,9,1902,39.22,108.96,3.84,0,2,1,.63,0,23
24,2025,12,9,1902,38.74,110.14,3.87,0,2,1,.53,0,24
25,2025,12,9,1902,38.30,109.70,3.89,0,2,1,.49,0,25
26,2025,12,9,1902,38.26,106.52,3.89,0,2,1,1.05,0,26
27,2025,12,9,1902,37.94,127.86,3.91,0,2,3,2.42,0,27
28,2025,12,9,1902,37.94,127.88,3.91,0,2,1,2.42,0,27
29,2025,12,9,1902,37.70,104.90,3.92,0,2,3,.53,0,29
30,2025,12,9,1902,37.68,104.92,3.92,0,2,3,.65,0,30
31,2025,12,9,1902,36.30,114.18,3.99,0,1,3,3.27,0,31
32,2025,12,9,1902,36.20,115.86,4.00,0,2,1,1.36,0,32
33,2025,12,9,1902,36.18,117.14,4.00,0,2,3,2.71,0,33
34,2025,12,9,1902,36.16,117.14,4.00,0,2,3,2.71,0,33
35,2025,12,9,1902,36.16,117.16,4.00,0,2,3,2.71,0,33
36,2025,12,9,1902,35.56,140.10,4.03,0,2,1,3.92,0,36
37,2025,12,9,1902,34.46,133.44,4.09,0,2,1,3.94,0,37
38,2025,12,9,1902,32.20,118.74,4.19,0,1,1,4.36,0,38
39,2025,12,9,1902,32.20,118.76,4.19,0,1,1,4.36,0,38
40,2025,12,9,1902,29.92,121.64,4.30,0,2,3,1.85,0,40
41,2025,12,9,1902,29.82,112.72,4.30,0,1,3,6.02,0,41
42,2025,12,9,1902,28.54,121.18,4.35,0,2,1,1.36,0,42
43,2025,12,9,1902,28.10,120.80,4.37,0,2,3,1.72,0,43
44,2025,12,9,1902,28.04,120.30,4.37,0,2,3,1.54,0,44
45,2025,12,9,1902,27.82,112.90,4.38,0,2,1,1.25,0,45
46,2025,12,9,1902,26.60,101.66,4.43,0,1,1,3.00,0,48
47,2025,12,9,1902,26.58,101.64,4.43,0,2,1,2.80,0,48
48,2025,12,9,1902,26.58,101.66,4.43,0,1,1,7.10,0,48
49,2025,12,9,1902,26.58,101.68,4.43,0,1,1,7.10,0,48
50,2025,12,9,1902,25.04,106.96,4.49,0,2,3,1.67,0,50
51,2025,12,9,1902,22.32,82.54,4.59,0,2,1,1.71,0,51
52,2025,12,9,1902,21.36,81.64,4.62,0,2,3,3.70,0,54
53,2025,12,9,1902,21.36,81.66,4.62,0,2,3,3.70,0,54
54,2025,12,9,1902,21.36,81.68,4.62,0,2,3,3.72,0,54
55,2025,12,9,1902,21.26,81.36,4.62,0,2,3,1.94,0,59
56,2025,12,9,1902,21.26,81.38,4.62,0,2,3,1.94,0,59
57,2025,12,9,1902,21.26,81.40,4.62,0,2,3,1.95,0,59
58,2025,12,9,1902,21.24,81.40,4.62,0,2,3,1.95,0,59
59,2025,12,9,1902,21.24,81.42,4.62,0,2,3,1.95,0,59
